Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
3840,3840,24,2,-1,1,0,1,16.833333333333332
3850,3850,24,3,-1,1,0,1,21.571428571428573
3860,3860,24,0,-1,0,0,0,0.0
3870,3870,21,0,-1,0,0,0,0.0
3880,3880,17,0,-1,0,0,0,0.0
3890,3890,17,0,-1,1,0,1,0.6
3900,3900,15,1,-1,1,0,1,3.25
3910,3910,14,2,-1,0,0,0,0.0
3920,3920,12,2,-1,0,0,0,3.0
3930,3930,12,2,-1,0,0,0,5.5
3940,3940,10,2,-1,0,0,0,16.0
3950,3950,10,0,-1,0,0,0,9.75
3960,3960,9,0,-1,0,0,0,14.75
3970,3970,8,0,-1,1,0,1,1.5
3980,3980,8,0,-1,1,0,1,3.2
3990,3990,7,0,-1,1,0,1,5.2
4000,4000,5,2,-1,0,0,0,0.0
4010,4010,26,2,-1,1,0,1,3.0
4020,4020,25,2,-1,2,0,2,10.2
4030,4030,24,2,-1,2,0,2,22.75
4040,4040,24,3,-1,3,0,3,27.2
4050,4050,24,0,-1,0,0,0,0.16666666666666666
4060,4060,21,0,-1,1,0,1,0.0
4070,4070,21,0,-1,2,0,2,3.0
4080,4080,20,0,-1,2,0,2,6.333333333333333
4090,4090,19,1,-1,2,0,2,11.166666666666666
4100,4100,16,2,-1,1,0,1,1.25
4110,4110,16,2,-1,1,0,1,6.2
4120,4120,15,2,-1,1,0,1,13.2
4130,4130,15,3,-1,1,0,1,17.666666666666668
4140,4140,15,0,-1,0,0,0,8.714285714285714
4150,4150,13,0,-1,0,0,0,0.0
4160,4160,12,0,-1,1,0,1,0.0
4170,4170,12,0,-1,1,0,1,1.4285714285714286
4180,4180,10,0,-1,1,0,1,3.3333333333333335
4190,4190,9,2,-1,1,0,1,1.5
4200,4200,7,2,-1,1,0,1,6.4
4210,4210,7,2,-1,2,0,2,12.5
4220,4220,28,2,-1,2,0,2,17.857142857142858
4230,4230,27,0,-1,1,0,1,12.857142857142858
4240,4240,26,0,-1,2,0,2,3.4285714285714284
4250,4250,25,0,-1,0,0,0,0.0
4260,4260,22,0,-1,1,0,1,0.0
4270,4270,20,0,-1,1,0,1,2.5
4280,4280,18,1,-1,1,0,1,8.0
4290,4290,17,2,-1,0,0,0,7.666666666666667
4300,4300,17,2,-1,1,0,1,12.75
4310,4310,17,2,-1,2,0,2,16.4
4320,4320,17,3,-1,2,0,2,20.333333333333332
4330,4330,16,0,-1,2,0,2,1.1666666666666667
4340,4340,14,0,-1,1,0,1,3.2
4350,4350,12,0,-1,1,0,1,6.5
4360,4360,12,0,-1,2,0,2,7.6
4370,4370,11,1,-1,2,0,2,12.6
4380,4380,9,2,-1,1,0,1,4.0
4390,4390,9,2,-1,2,0,2,10.8
4400,4400,9,2,-1,3,0,3,18.166666666666668
4410,4410,9,2,-1,3,0,3,24.142857142857142
4420,4420,9,0,-1,3,0,3,4.25
4430,4430,30,0,-1,1,0,1,6.0
